sg_window,sg_poly,prominence,distance,n_peaks,score,mean_prominence,tp,fp,fn,precision,recall,f1,mae,tol_abs,peaks_diff
101,3,0.05,30,51,0.5569620253164557,26.031044338547396,22,29,6,0.43137254901960786,0.7857142857142857,0.5569620253164557,4.454545454545454,15,23
101,3,0.03,40,44,0.5555555555555556,30.147900391146244,20,24,8,0.45454545454545453,0.7142857142857143,0.5555555555555556,4.25,15,16
31,2,0.03,40,62,0.5555555555555555,41.99218073313361,25,37,3,0.4032258064516129,0.8928571428571429,0.5555555555555555,1.88,15,34
31,2,0.05,40,62,0.5555555555555555,41.99218073313361,25,37,3,0.4032258064516129,0.8928571428571429,0.5555555555555555,1.88,15,34
31,2,0.07,40,62,0.5555555555555555,41.99218073313361,25,37,3,0.4032258064516129,0.8928571428571429,0.5555555555555555,1.88,15,34
31,2,0.09,40,62,0.5555555555555555,41.99218073313361,25,37,3,0.4032258064516129,0.8928571428571429,0.5555555555555555,1.88,15,34
31,3,0.03,40,62,0.5555555555555555,42.05132158420216,25,37,3,0.4032258064516129,0.8928571428571429,0.5555555555555555,1.88,15,34
31,3,0.05,40,62,0.5555555555555555,42.05132158420216,25,37,3,0.4032258064516129,0.8928571428571429,0.5555555555555555,1.88,15,34
31,3,0.07,40,62,0.5555555555555555,42.05132158420216,25,37,3,0.4032258064516129,0.8928571428571429,0.5555555555555555,1.88,15,34
31,3,0.09,40,62,0.5555555555555555,42.05132158420216,25,37,3,0.4032258064516129,0.8928571428571429,0.5555555555555555,1.88,15,34
21,2,0.03,40,59,0.5517241379310346,52.94544659234117,24,35,4,0.4067796610169492,0.8571428571428571,0.5517241379310346,1.375,15,31
21,2,0.05,40,59,0.5517241379310346,52.94544659234117,24,35,4,0.4067796610169492,0.8571428571428571,0.5517241379310346,1.375,15,31
61,2,0.07,40,59,0.5517241379310346,31.020164215233336,24,35,4,0.4067796610169492,0.8571428571428571,0.5517241379310346,2.5833333333333335,15,31
61,3,0.09,40,59,0.5517241379310346,31.132610563115136,24,35,4,0.4067796610169492,0.8571428571428571,0.5517241379310346,2.5833333333333335,15,31
51,3,0.03,40,59,0.5517241379310346,34.18833747995246,24,35,4,0.4067796610169492,0.8571428571428571,0.5517241379310346,2.9583333333333335,15,31
51,3,0.05,40,59,0.5517241379310346,34.18833747995246,24,35,4,0.4067796610169492,0.8571428571428571,0.5517241379310346,2.9583333333333335,15,31
51,3,0.07,40,59,0.5517241379310346,34.18833747995246,24,35,4,0.4067796610169492,0.8571428571428571,0.5517241379310346,2.9583333333333335,15,31
101,2,0.07,20,59,0.5517241379310346,22.31302813176124,24,35,4,0.4067796610169492,0.8571428571428571,0.5517241379310346,4.25,15,31
101,2,0.03,40,45,0.5479452054794521,29.16525827448024,20,25,8,0.4444444444444444,0.7142857142857143,0.5479452054794521,4.65,15,17
81,2,0.07,30,56,0.5476190476190476,27.26027729160459,23,33,5,0.4107142857142857,0.8214285714285714,0.5476190476190476,5.304347826086956,15,28
21,3,0.03,40,60,0.5454545454545455,52.40397837146035,24,36,4,0.4,0.8571428571428571,0.5454545454545455,1.375,15,32
21,3,0.05,40,60,0.5454545454545455,52.40397837146035,24,36,4,0.4,0.8571428571428571,0.5454545454545455,1.375,15,32
